# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
jt 	昨	c=1 d=1 t=6241
jtf 	蚝	c=1 d=1 t=6239
jty 	临	c=1 d=1 t=17373
jtyl 	监	c=5 d=1.97045 t=16971
jtyq 	览	c=4 d=1 t=15939
jvko 	照	c=5 d=1.00001 t=14175
jyi 	景	c=2 d=1 t=9906
jyie 	影	c=2 d=1 t=16109
k 	中	c=129 d=5.56522 t=17797
ka 	呀	c=1 d=1 t=11022
kb 	啊	c=5 d=1.01708 t=12672
kcg 	吗	c=1 d=1 t=15234
kcn 	吧	c=3 d=1.03175 t=12771
kgn 	号	c=22 d=1 t=16399
kgud 	呈送	c=1 d=1 t=6556
kha 	距	c=2 d=1.03439 t=10941
khg 	践	c=4 d=1.86936 t=17559
khgm 	贵	c=1 d=1 t=12987
khi 	跳	c=4 d=1.9802 t=6699
kht 	路	c=4 d=1 t=16497
khu 	足	c=2 d=1.21981 t=9646
kj 	虽	c=1 d=1 t=15023
kk 	吕	c=1 d=1 t=2135
kkd 	器	c=14 d=1.08451 t=15954
kkh 	串	c=1 d=1 t=9432
kkk 	品	c=31 d=3.48124 t=17295
kkkk 	口	c=38 d=3.28346 t=17121
kl 	另	c=2 d=1 t=16400
klj 	别	c=7 d=1.27527 t=16641
km 	员	c=69 d=1.02027 t=16831
kmlk 	吊架	c=1 d=1 t=4872
knx 	呢	c=8 d=1 t=16382
kq 	史	c=14 d=1.00346 t=17705
kr 	听	c=1 d=1 t=13193
ks 	呆	c=1 d=1 t=4865
ksk 	呵	c=2 d=1 t=16412
kt 	呼	c=1 d=1 t=17708
kta 	噬	c=1 d=1 t=4754
kth 	咱	c=2 d=1 t=16706
ktm 	响	c=3 d=1 t=16110
ktn 	吃	c=18 d=2.94327 t=17725
ktr 	哦	c=8 d=1.00445 t=17700
kv 	哪	c=3 d=1.00795 t=8216
kw 	只	c=17 d=1.00025 t=15906
kwyg 	唯	c=2 d=1 t=12874
l 	国	c=7 d=2.487 t=17683
lca 	轻	c=1 d=1 t=1599
ld 	因	c=35 d=1.01189 t=15157
ldd 	固	c=4 d=2.90155 t=4398
ldn 	恩	c=4 d=1 t=16658
le 	胃	c=2 d=1.99005 t=16500
lfc 	罢	c=2 d=1 t=8524
lffh 	罫	c=4 d=1.00068 t=15760
lfh 	轩	c=1 d=1 t=4860
lfhf 	置	c=55 d=4.37531 t=15761
lfn 	转	c=5 d=1.13326 t=10220
lfnh 	围	c=2 d=1.00001 t=11092
lfny 	转	c=5 d=1 t=16485
lfo 	黑	c=5 d=1.66365 t=15875
lfod 	默	c=4 d=1.93239 t=11992
lfof 	墨	c=1 d=1 t=17186
lfq 	园	c=3 d=1.98511 t=17110
lftj 	署	c=2 d=1.96561 t=16930
lh 	四	c=9 d=1 t=17018
lhj 	罩	c=5 d=1.29527 t=17122
lj 	辊	c=1 d=1 t=11498
lk 	加	c=53 d=1.00054 t=17349
lkb 	辑	c=11 d=1 t=17072
lkd 	回	c=5 d=1.00034 t=17727
lks 	架	c=24 d=1.10754 t=17367
lll 	田	c=1 d=1 t=7193
llll 	田	c=1 d=1 t=7184
lm 	轴	c=1 d=1 t=9869
lmg 	轴	c=4 d=3.62399 t=8690
ln 	思	c=9 d=1 t=16328
lp 	边	c=4 d=1.74835 t=14400
lpk 	连	c=7 d=1.0133 t=9637
lpq 	畹	c=1 d=1 t=9054
lq 	罗	c=2 d=1.91393 t=16575
lqp 	逻	c=7 d=2.54388 t=9436
lqw 	软	c=4 d=1.25838 t=1364
lrj 	暂	c=5 d=1.00002 t=6734
lt 	力	c=18 d=1.00995 t=17624
ltk 	略	c=28 d=2.13123 t=10943
ltu 	图	c=44 d=1.53226 t=17692
lud 	圈	c=1 d=1 t=8625
luq 	较	c=2 d=1 t=10015
lw 	办	c=14 d=1.57984 t=14401
lwg 	输	c=10 d=1.00006 t=16793
lwgj 	办理	c=15 d=1.00006 t=16790
lwgj 	输	c=1 d=1 t=11987
lwj 	界	c=4 d=1 t=15911
lx 	累	c=1 d=1 t=1597
lxi 	累	c=1 d=1 t=12667
m 	同	c=18 d=1.11105 t=17521
mad 	曲	c=2 d=1.94176 t=6914
maw 	典	c=2 d=1.00109 t=9359
mb 	邮	c=3 d=1.00224 t=11526
md 	央	c=1 d=1 t=10596
mdj 	崦	c=1 d=1 t=2898
mds 	崎	c=1 d=1 t=15769
me 	骨	c=2 d=1 t=11870
metk 	骼	c=1 d=1 t=9398
mfk 	周	c=26 d=3.78831 t=16943
mft 	财	c=5 d=1.82781 t=10949
mh 	由	c=6 d=1 t=17644
mhj 	帽	c=1 d=1 t=10547
mht 	帐	c=1 d=1 t=6139
mhya 	幅度	c=1 d=1 t=7084
mi 	峭	c=1 d=1 t=2073
mjh 	则	c=12 d=2.36256 t=13151
mm 	册	c=16 d=1.31885 t=5986
mmgj 	删	c=3 d=1.33121 t=14490
mmm 	山	c=2 d=1 t=16496
mmsd 	山顶	c=1 d=1 t=3100
mq 	风	c=4 d=1.98511 t=15915
